country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Poland,4400000,4540000,4800000,4870000,4720000,4850000,5280000,5560000,5960000,5350000,4540000,4040000,3720000,3640000,4000000,4130000,3750000,3770000,3740000,3460000,2380000,2660000,2560000,3270000,3100000,3170000,3140000,3200000,3250000,3100000,3310000,3490000,3570000,3610000,3930000,3880000,3880000,3900000,3690000,3680000,3690000,3850000,3910000,3820000,3730000,3680000,3550000
Qatar,905000,905000,993000,1420000,1170000,1800000,985000,1400000,1330000,3930000,4270000,3890000,4550000,4710000,5340000,4910000,5220000,5050000,5270000,5580000,5670000,6870000,11400000,12200000,12200000,12200000,12300000,15700000,17600000,19800000,22400000,24300000,26600000,28300000,35300000,41200000,45600000,56900000,69300000,80400000,118000000,131000000,141000000,160000000,157000000,161000000,163000000
Romania,21000000,22400000,23000000,24300000,25100000,27200000,29700000,31500000,31700000,30300000,31300000,32900000,33300000,33000000,32800000,31300000,31700000,30100000,29500000,26500000,22900000,20100000,17600000,16800000,14800000,14400000,13800000,11900000,11200000,11200000,11000000,10800000,10600000,10400000,10400000,9700000,9570000,9230000,9030000,8940000,8630000,8670000,9020000,8610000,8770000,8790000,8240000
Russia,,,,,,,,,,,,,,,,376000000,410000000,443000000,480000000,502000000,531000000,524000000,525000000,504000000,495000000,479000000,489000000,464000000,479000000,482000000,476000000,474000000,485000000,505000000,516000000,522000000,536000000,533000000,542000000,475000000,530000000,546000000,533000000,544000000,524000000,518000000,521000000
Saudi Arabia,1460000,1210000,1380000,1620000,2050000,2440000,2630000,3710000,5110000,6270000,8750000,10200000,10800000,10600000,16400000,16900000,22700000,24100000,26200000,26800000,30200000,31700000,34400000,36000000,38500000,38600000,40000000,40800000,42100000,41600000,44800000,48300000,51000000,54100000,59100000,64100000,66100000,67000000,72400000,70600000,78900000,83000000,89400000,90000000,92100000,94000000,98400000
Syria,0,0,0,0,0,0,27000,30100,29000,29900,40200,40600,42300,64300,109000,129000,326000,321000,760000,1240000,1370000,1600000,1650000,1640000,1770000,2240000,2380000,3700000,4660000,4620000,4620000,4730000,5240000,5550000,5110000,4940000,5070000,4860000,4780000,5280000,7250000,6380000,5230000,4300000,3970000,3660000,3240000
Thailand,0,0,0,0,0,0,0,0,0,0,0,237000,1210000,1420000,2120000,2790000,3220000,4500000,5330000,5330000,5800000,7190000,7670000,8640000,9550000,10100000,11700000,14400000,15600000,17100000,18000000,17500000,18300000,19100000,19900000,21100000,21600000,23100000,25600000,27500000,32200000,32900000,36900000,37200000,37500000,35400000,34700000
Trinidad and Tobago,1640000,1600000,1660000,1590000,1450000,1320000,1490000,1750000,2090000,2160000,2440000,2680000,3260000,3380000,3540000,3620000,3710000,3930000,4520000,4530000,4700000,5120000,4950000,5560000,6360000,6830000,7710000,8370000,8370000,10600000,14000000,14900000,17300000,24300000,27200000,29700000,36100000,38000000,37800000,39300000,40300000,38800000,38400000,38600000,37900000,35700000,31000000
Turkmenistan,,,,,,,,,,,,,,,,67800000,69000000,71800000,71900000,73200000,71500000,68700000,49000000,53200000,29100000,26300000,28700000,14100000,10800000,18600000,38300000,41800000,43600000,48100000,47500000,51300000,54300000,58900000,59500000,32700000,38100000,53600000,56100000,56100000,60400000,62600000,60100000
Ukraine,,,,,,,,,,,,,,,,34900000,32300000,29000000,26400000,25100000,22900000,19900000,17100000,15600000,14800000,14800000,15000000,15200000,14600000,14800000,14600000,14900000,15300000,15800000,16500000,16700000,16900000,16900000,17100000,17300000,16700000,16900000,16700000,17300000,16400000,16100000,16000000
United Arab Emirates,750000,1320000,1340000,1560000,1560000,1490000,1750000,3510000,5140000,5500000,6770000,7970000,8550000,7520000,9900000,11900000,13700000,15200000,15600000,18300000,18100000,21400000,20000000,20700000,24200000,28200000,30400000,32700000,33400000,34600000,34500000,40400000,39100000,40300000,41700000,43000000,43900000,45300000,45200000,44000000,46200000,47100000,48900000,49100000,48800000,54200000,55700000
United Kingdom,9420000,15600000,22600000,24500000,29600000,30800000,32600000,34100000,32600000,32900000,31300000,31200000,31800000,32700000,32000000,35700000,37500000,39300000,37900000,37100000,40900000,45600000,46300000,54500000,58200000,63700000,75700000,77300000,81100000,89200000,97500000,95200000,93200000,92600000,86700000,79400000,72000000,64900000,62700000,53700000,51400000,40700000,35000000,32800000,33100000,35600000,36900000
United States,546000000,561000000,560000000,559000000,534000000,495000000,491000000,493000000,491000000,506000000,502000000,496000000,462000000,418000000,454000000,428000000,417000000,432000000,443000000,450000000,462000000,459000000,463000000,468000000,488000000,481000000,487000000,489000000,494000000,487000000,495000000,508000000,488000000,495000000,481000000,468000000,479000000,499000000,522000000,533000000,550000000,590000000,620000000,626000000,673000000,707000000,691000000
Uzbekistan,,,,,,,,,,,,,,,,28200000,31400000,32400000,32500000,33500000,33200000,34100000,34900000,36700000,38400000,39600000,39900000,41700000,44600000,45300000,45900000,46800000,46700000,46800000,48800000,48600000,51000000,52400000,52000000,50000000,49000000,51300000,51200000,51200000,51600000,52000000,56500000
Venezuela,6940000,6730000,6680000,8230000,8700000,8460000,10500000,11500000,11600000,12900000,13300000,13400000,14300000,14100000,15600000,15600000,17200000,16700000,17100000,17600000,19800000,19700000,19500000,21000000,22200000,24800000,26800000,27700000,29100000,24700000,25100000,26600000,25600000,22700000,25600000,24700000,28300000,32600000,29500000,27900000,27600000,24800000,26500000,25600000,25800000,29200000,30900000
Vietnam,0,0,0,0,0,0,0,0,0,0,0,9000,17000,59000,51000,32000,33000,33000,25000,30000,36000,65000,189000,225000,225000,131000,258000,478000,810000,1170000,1440000,1800000,2160000,2140000,3740000,5800000,6300000,6370000,6750000,7210000,8460000,7630000,8420000,8780000,9190000,9590000,9640000
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672000,5380000,8100000,6550000,8900000,8390000,2460000,655000
